title,genres,type,developer,publisher,user_rating,metacritic_score
Super Mario Galaxy 2,Platformer,,Nintendo,Nintendo,4.34,97
Grand Theft Auto IV: Complete Edition,"Action, Adventure",,Rockstar Toronto,Rockstar Games,4.58,95
Portal 2,"Shooter, Puzzle","Singleplayer, Multiplayer",Valve Software,"Electronic Arts, Valve",4.58,95
The Last Of Us Remastered,"Action, Adventure",Multiplayer,Naughty Dog,Sony Computer Entertainment,4.69,95
Red Dead Redemption,"Action, Shooter","Singleplayer, Multiplayer","Rockstar North, Rockstar Games, Double Eleven, Rockstar San Diego",Rockstar Games,4.42,95
The Last Of Us,"Action, Adventure",,Naughty Dog,Sony Computer Entertainment,4.54,95
The Legend of Zelda: Ocarina of Time 3D,"Adventure, RPG, Puzzle",,,Nintendo,4.55,94
The Elder Scrolls V: Skyrim Legendary Edition,"Adventure, RPG",,Bethesda Game Studios,Bethesda Softworks,4.59,94
BioShock Infinite,"Action, Shooter",Singleplayer,"Aspyr Media, 2K Australia, Irrational Games","2K Games, Aspyr",4.38,94
The Elder Scrolls V: Skyrim,"Action, RPG",Singleplayer,Bethesda Game Studios,Bethesda Softworks,4.42,94
Batman: Arkham City,Action,,Rocksteady Studios,Warner Bros. Interactive,4.41,94
Mass Effect 2,"Action, RPG",Singleplayer,BioWare,Electronic Arts,4.46,94
StarCraft II: Wings of Liberty,Strategy,,,Blizzard Entertainment,4.57,93
Cut the Rope,"Arcade, Casual, Indie, Puzzle",Singleplayer,ZeptoLab,Chillingo,3.78,93
Super Mario 3D World,"Action, Platformer",,Nintendo,Nintendo,4.37,93
The Legend of Zelda: Skyward Sword,Adventure,,Nintendo,Nintendo,4.14,93
StarCraft II,Strategy,,,Blizzard Entertainment,4.38,93
Uncharted 3: Drake's Deception,Action,,Naughty Dog,Sony Computer Entertainment,4.37,92
God of War III,Action,,SCE Studios Santa Monica,Sony Computer Entertainment,4.4,92
The Walking Dead: Season 1,"Action, Adventure",Singleplayer,Telltale Games,Telltale Games,4.36,92
Threes!,"Casual, Card, Educational, Indie, Puzzle",Singleplayer,"Greg Wohlwend, Sirvo, Asher Vollmer, BigGiantCircles",Sirvo,4.29,92
Galactic Civilizations II: Ultimate Edition,Strategy,Singleplayer,Stardock Entertainment,Stardock Entertainment,2.65,92
Fire Emblem Awakening,"RPG, Strategy",,Intelligent Systems,Nintendo,4.38,92
Rock Band 3,Arcade,,Harmonix Music Systems,"Electronic Arts, MTV Games, Mad Catz",4.15,92
Bayonetta 2,Action,,Platinum Games,Nintendo,4.35,92
Grand Theft Auto V,Action,"Singleplayer, Multiplayer","Rockstar North, Rockstar Games",Rockstar Games,4.47,92
Journey,"Adventure, Family, Indie","Singleplayer, Multiplayer","thatgamecompany, チョコマメ","Sony Computer Entertainment, Sony Interactive Entertainment, Annapurna Interactive, チョコマメ",4.32,92
Gears of War 3,Shooter,,Epic Games,Microsoft Studios,4.2,91
Mark of the Ninja,"Action, Indie, Platformer",Singleplayer,Klei Entertainment,"Microsoft Studios, Klei Entertainment",3.98,91
FEZ,"Action, Adventure, Indie, Puzzle, Platformer",Singleplayer,POLYTRON,"Microsoft Studios, Trapdoor, Corporation Polytron, Polytron",4.0,91
